"RF1 HWS VALVE 14","A1 DX CAP SIGNAL","RSB P1 START/STOP","CRCP VALVE S28A","GWRV LOOPOUT","M1 AVG FLOW","ZONE N121 N125 AVERAGE TEM","S1 DPT AVG C","HP3 HEAT STAGE TIMER","N1 COOLING OFF","TEMPERATURE"
1,0,1,0.183272,99.350891,1832.06677,73.686859,52.5,9999,74,72.190605
1,0,1,2.3e-05,0,1946.24133,68.753738,34,9999,74,68.539986
1,0,1,2.3e-05,0,1889.10266,69.769043,32,9999,74,69.546867
1,0,1,2.3e-05,0,1901.58862,68.753738,34,9999,74,67.533112
0,0,0,0.165894,0,1867.31226,70.472168,41,9999,74,71.448105
1,0,1,2.3e-05,0,1923.35754,69.757797,39,9999,74,71.436867
1,0,1,0,99.144791,1993.9519,72.837486,50.5,2,73,71.194984
1,0,1,0.079749,99.124702,2620.38599,68.956238,55,9999,74,72.196236
1,0,1,2.3e-05,0,1943.69702,70.736549,37,9999,74,70.339989
1,0,1,0,0.351798,1832.38294,72.142792,49.5,9999,74,71.110611
1,1.529167,1,0.73863,0.694885,1892.38415,73.703735,47,10000,74,71.318741
1,0,1,0.14255,0.106779,1918.86401,70.154358,39,9999,74,70.18811
0,0,0,0,99.969063,1842.62183,73.256546,56,9999,74,71.071236
0,0,0,0.650654,0.315863,1874.34216,72.514046,46.5,5498,74,71.442482
0,5,0,99.999977,99.969063,2693.23682,75.236549,57.5,0,74,73.090607
0,0,0,0.165894,99.515549,1896.15601,71.476234,46,10000,74,70.435616
1,0,1,0,99.969063,1814.95056,73.253731,55.5,9999,74,71.071236
0,5,0,100,100,2750.82715,77.244675,59,9999,74,72.07811
1,0,1,0.216906,99.883888,1913.75134,73.886551,45.5,9999,74,68.168732
1,0,1,0.079749,99.124702,2697.57544,69.957481,55,9999,74,72.196236
1,0,1,0,0.796052,1852.6488,71.048737,52.5,9999,74,71.183731
0,0,0,99.07431,99.604584,2225.91309,74.145294,57.5,1,74,72.207489
1,0,1,0.183272,99.565758,2921.27075,73.810608,43.5,9999,74,73.20311
0,5,0,99.174774,99.288841,2670.35327,74.719048,52.5,0,74,74.091866
0,0,0,0.079749,99.124702,1848.48413,68.897171,54.5,9999,74,71.183731
0,0,0,0,99.515549,1696.99231,72.559044,51.5,9999,74,72.443733
1,0,1,0.699925,0.106779,1801.55347,71.107796,41.5,9999,74,70.182487
0,0,0,0,0.288225,1898.20264,71.493103,44.5,10001,74,71.436867
0,0,0,0,99.515549,1888.32129,71.495918,49,9999,74,69.428734
0,0,0,0.456634,99.105598,1938.3949,76.774986,50.5,9999,74,69.169991
0,0,0,0,0.424291,1826.69409,73.141235,54,9999,74,70.182487
0,0,0,0,99.919998,1791.25,74.218422,59,9999,74,71.071236
0,0,0,0,34.212051,1849.83008,73.127174,56.5,9999,74,71.189362
0,5,0,71.835342,4.506461,2728.27832,75.197174,51.5,0,74,75.205612
0,5,0,42.614338,99.31472,2724.2915,75.91436,46,1,74,75.216858
1,2.797428,1,99.766968,0.641214,2657.99292,74.719048,40,10000,74,72.319984
1,0,1,0.079749,99.553497,1858.63965,73.889351,48.5,9999,74,72.184982
1,5,1,0,99.124702,2743.84009,78.262794,56,9999,74,72.196236
0,0,0,0.774419,0.575964,1864.3783,71.34967,42,10000,74,72.443733
0,0,0,0,99.515549,1703.77197,72.559044,50.5,9999,74,71.436867
1,0,1,0.14255,0.106779,1923.25342,70.143105,36.5,9999,74,72.184982
1,0,1,2.3e-05,0,1892.88489,68.748108,39,9999,74,68.42186
0,5,0,100,99.383263,2712.26611,75.132484,55.5,9999,74,73.191864
1,0,1,2.3e-05,0,1942.57532,69.76342,34,9999,74,69.546867
0,0,0,0,18.21257,1845.99133,73.045609,55,9999,74,71.194984
1,0,1,0,0.652154,1874.82202,72.123108,51.5,9999,74,70.182487
1,1.529167,1,2.3e-05,0,1965.5791,71.678734,39,9999,74,70.339989
0,5,0,1.226916,99.171829,2851.04907,75.773735,55.5,0,74,75.216858
1,3.25,1,2.3e-05,99.688019,1986.4375,72.814987,48.5,9999,73,72.196236
0,0,0,0,0.641214,1902.56262,70.669044,37,10000,74,69.310608
1,5,1,0.456634,99.105598,2543.64746,74.713425,41,9999,74,72.196236
1,0,1,0,34.212051,1858.61462,73.118729,55.5,9999,74,72.190605
1,0,1,0.419502,0.641214,1910.66614,71.622482,49.5,10000,74,71.31311
1,0,1,0,0.652154,1853.92554,72.123108,50.5,9999,74,70.182487
0,0,0,0.183272,99.565758,1911.146,73.762794,46,9999,74,67.156235
1,0,1,0,0.652154,1859.61829,72.123108,50.5,9999,74,70.182487
0,0,0,0,0.35987,1865.08374,73.13842,56.5,9999,74,71.194984
0,0,0,0.419502,0.641214,1920.21924,71.625298,47.5,10000,74,71.318741
0,0,0,0.746155,99.31472,1954.63977,75.905922,46.5,9999,74,72.196236
0,0,0,0,99.762222,1864.1427,73.695297,55,5834,74,72.196236
0,0,0,0.165894,0,1869.45935,70.472168,42.5,9999,74,71.448105
0,0,0,0.456634,99.105598,1893.61377,73.717796,52.5,5720,74,72.089363
1,0,1,0,0.796052,1862.17285,71.048737,52.5,9999,74,71.183731
0,0,0,0,99.663689,1858.78979,74.654358,49.5,9999,74,72.072479
0,0,0,0,99.124702,1946.93726,77.104042,57,1,74,73.248116
1,0,1,0.087318,0.964995,1890.81226,72.634979,47,10000,74,71.31311
1,0,1,0,34.212051,1864.63818,73.158112,55.5,9999,74,72.190605
0,5,0,99.102654,4.506461,2726.37402,75.197174,51.5,0,74,75.205612
0,0,0,0.456634,99.105598,1938.3949,75.751236,51.5,9999,74,72.184982
1,0,1,0.14255,0.106779,1887.67383,71.155609,42,9999,74,72.196236
0,0,0,0,99.496552,2012.15735,72.806549,46.5,10000,73,70.176865
0,0,0,0.430274,0.406054,1852.45154,71.484673,41.5,5244,74,71.442482
0,0,0,0,99.663689,1873.38196,74.654358,50.5,9999,74,73.073738
1,0,1,0,0.641214,1939.1499,73.650299,46.5,2562,74,72.359367
1,0,1,0,99.400589,1891.65894,73.717796,45.5,10000,74,71.178116
0,4.697576,0,0.699925,62.181122,2596.94995,77.182793,53,9999,74,72.196236
1,0,1,0.562452,0.323719,1636.17004,72.064049,47,9999,74,71.189362
1,0,1,0.456634,99.105598,1838.67908,71.681549,41,9999,74,71.183731
0,0,0,0,0.796052,2328.91089,73.051239,53.5,9999,74,73.191864
1,0,1,2.3e-05,0,1919.87317,70.736549,37,9999,74,70.339989
0,0,0,0.650654,0.315863,1868.07129,72.514046,44.5,10000,74,71.442482
1,0,1,0,0.188652,1838.13904,73.149666,54.5,9999,74,70.18811
0,0,0,0.183272,99.565758,1911.146,76.800301,50.5,9999,74,70.176865
1,0,1,0.14255,0.106779,1907.94092,71.155609,38,9999,74,70.18811
0,0,0,0.079749,99.553497,1929.55518,75.908737,48.5,9999,74,73.197487
0,0,0,0.430274,0.406054,1872.17004,71.484673,41.5,9999,74,71.442482
1,0,1,0.562452,0.323719,1840.27197,73.068108,49,9999,74,72.196236
0,0,0,100,61.498539,2136.86133,74.11998,55.5,9999,74,73.191864
1,0,1,0.183272,99.565758,2725.66284,76.856552,42.5,533,74,75.222488
0,0,0,0.430274,0.406054,1875.50171,71.484673,41.5,9999,74,71.442482
1,0,1,0.183272,99.016716,1864.5404,71.79686,40.5,9999,74,70.176865
0,1.5,0,0.430274,0.406054,2337.68896,71.484673,42.5,9999,74,73.444984
0,0,0,0.183272,99.565758,1911.146,77.804359,51.5,9999,74,72.111855
0,0,0,0.183272,99.565758,1911.146,77.804359,51.5,9999,74,73.174988
0,0,0,0.183272,99.457741,2732.28345,76.735611,55.5,1,74,72.196236
0,0,0,0,27.203583,1860.70227,72.142792,51.5,6775,74,71.093735
